code,name,district_code
611100441,打浦桥,310101
611100456,老西门,310101
611100457,人民广场,310101
611900036,南京东路,310101
611900037,蓬莱公园,310101
611900038,董家渡,310101
611900039,豫园,310101
611900060,新天地,310101
611900061,五里桥,310101
611900062,淮海中路,310101
611900063,世博滨江,310101
613000265,黄浦滨江,310101
611100124,华泾,310104
611100125,龙华,310104
611100127,田林,310104
611100128,徐汇滨江,310104
611900097,衡山路,310104
611900098,斜土路,310104
611900099,建国西路,310104
611900100,万体馆,310104
611900102,植物园,310104
611900103,长桥,310104
611900104,华东理工,310104
613000342,漕河泾,310104
613000343,康健,310104
613000344,上海南站,310104
613000345,徐家汇,310104
611100407,古北,310105
611100408,虹桥,310105
611100409,西郊,310105
611100410,新华路,310105
611100411,中山公园,310105
611900011,天山,310105
611900013,北新泾,310105
613000350,仙霞,310105
1100007605,苏河湾,310106
611100417,江宁路,310106
611100418,曹家渡,310106
611100419,南京西路,310106
611100430,彭浦,310106
611900014,镇宁路,310105
611900014,镇宁路,310106
611900116,大宁,310106
611900117,不夜城,310106
611900118,西藏北路,310106
611900121,永和,310106
613000289,静安寺,310106
613000348,阳城,310106
613000349,闸北公园,310106
611100369,曹杨,310107
611100371,真如,310107
611100373,桃浦,310107
611100375,万里,310107
611100415,光新,310107
611100416,武宁,310107
613000318,甘泉宜川,310107
613000319,长风,310107
613000320,长寿路,310107
613000321,真光,310107
613000322,中远两湾城,310107
611900028,北外滩,310109
611900029,凉城,310109
611900030,四川北路,310109
611900031,临平路,310109
611900033,曲阳,310109
613000263,江湾镇,310109
613000264,鲁迅公园,310109
611900106,东外滩,310110
611900107,黄兴公园,310110
611900108,鞍山,310110
611900109,周家嘴路,310110
611900110,五角场,310110
611900111,新江湾城,310110
611900112,中原,310110
613000346,控江路,310110
1100006843,闵浦,310112
1100007475,莘庄南广场,310112
611100113,华漕,310112
611100115,金虹桥,310112
611100116,马桥,310112
611100118,浦江,310112
611100119,七宝,310112
611100120,吴泾,310112
611100121,莘庄北广场,310112
611100122,颛桥,310112
611900064,春申,310112
611900065,老闵行,310112
611900067,金汇,310112
611900068,古美,310112
611900069,航华,310112
611900070,梅陇,310112
611900071,静安新城,310112
611900073,龙柏,310112
611100420,大华,310113
611100426,淞宝,310113
611900001,通河,310113
611900003,共康,310113
611900008,共富,310113
613000245,大场镇,310113
613000246,高境,310113
613000247,顾村,310113
613000248,罗店,310113
613000249,罗泾,310113
613000251,淞南,310113
613000252,杨行,310113
613000253,月浦,310113
613000254,张庙,310113
611100370,长征,310107
611100370,长征,310114
613000250,上大,310113
613000250,上大,310114
613000267,安亭,310114
613000268,丰庄,310114
613000269,华亭,310114
613000270,嘉定新城,310114
613000271,嘉定老城,310114
613000272,江桥,310114
613000273,菊园新区,310114
613000274,马陆,310114
613000275,南翔,310114
613000276,外冈,310114
613000278,徐行,310114
613000389,新成路,310114
1100006285,杨思前滩,310115
1100006286,梅园,310115
611101108,御桥,310115
611900123,北蔡,310115
611900130,花木,310115
611900131,金桥,310115
611900136,陆家嘴,310115
611900138,三林,310115
611900139,世博,310115
611900141,塘桥,310115
611900143,外高桥,310115
611900148,张江,310115
613000290,碧云,310115
613000291,曹路,310115
613000292,川沙,310115
613000293,大团镇,310115
613000294,高东,310115
613000295,高行,310115
613000296,航头,310115
613000297,合庆,310115
613000298,惠南,310115
613000299,金杨,310115
613000300,康桥,310115
613000301,老港镇,310115
613000302,联洋,310115
613000303,临港新城,310115
613000304,南码头,310115
613000305,泥城镇,310115
613000307,书院镇,310115
613000308,唐镇,310115
613000309,万祥镇,310115
613000310,潍坊,310115
613000311,新场,310115
613000312,宣桥,310115
613000313,杨东,310115
613000314,洋泾,310115
613000315,源深,310115
613000316,周浦,310115
613000317,祝桥,310115
613000280,金山新城,310116
1100007224,洞泾,310117
611100449,九亭,310117
611100450,佘山,310117
611100452,松江新城,310117
611100454,新桥,310117
613000332,车墩,310117
613000333,泖港,310117
613000334,莘闵别墅,310112
613000334,莘闵别墅,310117
613000335,石湖荡,310117
613000336,泗泾,310117
613000337,松江大学城,310117
613000338,松江老城,310117
613000339,小昆山,310117
613000340,新浜,310117
613000341,叶榭,310117
1100000693,练塘,310118
1100000696,金泽,310118
613000323,白鹤,310118
613000324,华新,310118
613000325,夏阳,310118
613000326,香花桥,310118
613000327,徐泾,310118
613000328,盈浦,310118
613000329,赵巷,310118
613000330,重固,310118
613000331,朱家角,310118
611101107,西渡,310120
613000255,奉贤金汇,310120
613000256,奉城,310120
613000257,海湾,310120
613000258,南桥,310120
613000260,四团,310120
613000261,柘林,310120
613000262,庄行,310120
1100000344,横沙岛,310230
613000351,堡镇,310230
613000357,陈家镇,310230
613000358,崇明其它,310230
613000359,崇明新城,310230
613000360,长兴岛,310230
1100001087,嘉兴,310333
1100001114,南通,310333
1100004035,常熟市,310333
1100004116,无锡市,310333
1100006467,湖州,310333
613000352,昆山,310114
613000352,昆山,310118
613000352,昆山,310333
613000353,苏州,310333
613000354,太仓,310333
613000355,启东,310230
613000355,启东,310333
613000356,海门,310333
613000394,上海周边,310333
